"address","lng","lat"
"東京都世田谷区上野毛","139.63684","35.60832"
"東京都世田谷区駒沢","139.65730","35.62466"
"東京都世田谷区新町","139.64949","35.62757"
"東京都世田谷区東玉川","139.67825","35.59649"
"東京都世田谷区若林","139.65811","35.64398"
"東京都中央区明石町","139.77769","35.66700"
"東京都中央区勝どき","139.77907","35.65811"
"東京都中央区京橋","139.76990","35.67540"
"東京都中央区銀座","139.76625","35.67117"
"東京都中央区日本橋兜町","139.77768","35.68108"
"東京都中野区中野","139.66888","35.70413"
"東京都中野区野方","139.65651","35.71464"
"東京都中野区東中野","139.68033","35.70351"
"東京都中野区本町","139.68005","35.69477"
"東京都中野区弥生町","139.66118","35.68620"
"東京都北区赤羽","139.72449","35.77987"
"東京都北区上十条","139.72026","35.75920"
"東京都北区昭和町","139.75639","35.74646"
"東京都北区滝野川","139.73558","35.74786"
"東京都北区中十条","139.72832","35.75916"
"東京都千代田区猿楽町","139.76036","35.69844"
"東京都千代田区岩本町","139.77763","35.69234"
"東京都千代田区霞が関","139.74699","35.67183"
"東京都千代田区北の丸公園","139.75163","35.69156"
"東京都千代田区丸の内","139.76344","35.68002"
"東京都台東区浅草","139.79491","35.71228"
"東京都台東区上野","139.77310","35.70541"
"東京都台東区下谷","139.78152","35.71880"
"東京都台東区台東","139.77844","35.70325"
"東京都台東区元浅草","139.78659","35.70980"
"東京都品川区大崎","139.72681","35.61777"
"東京都品川区戸越","139.71652","35.60760"
"東京都品川区旗の台","139.70601","35.60515"
"東京都品川区東五反田","139.72820","35.62417"
"東京都品川区広町","139.73474","35.61373"
"東京都墨田区吾妻橋","139.80040","35.70968"
"東京都墨田区押上","139.81383","35.71078"
"東京都墨田区菊川","139.80775","35.68854"
"東京都墨田区墨田","139.82388","35.73316"
"東京都墨田区両国","139.79401","35.69380"
"東京都大田区新蒲田","139.71143","35.55758"
"東京都大田区田園調布","139.67136","35.58932"
"東京都大田区西馬込","139.70386","35.58670"
"東京都大田区東雪谷","139.68593","35.59669"
"東京都大田区本羽田","139.73735","35.54515"
"東京都文京区音羽","139.73021","35.71392"
"東京都文京区小日向","139.73402","35.71523"
"東京都文京区白山","139.74956","35.72349"
"東京都文京区目白台","139.72525","35.71724"
"東京都文京区湯島","139.76462","35.70141"
"東京都新宿区市谷田町","139.73631","35.69292"
"東京都新宿区大久保","139.70496","35.69964"
"東京都新宿区歌舞伎町","139.70383","35.69656"
"東京都新宿区中落合","139.68350","35.71887"
"東京都新宿区若松町","139.71736","35.70018"
"東京都杉並区阿佐谷南","139.64149","35.70341"
"東京都杉並区和泉","139.65109","35.67414"
"東京都杉並区荻窪","139.62210","35.70163"
"東京都杉並区高円寺南","139.65794","35.70351"
"東京都杉並区和田","139.65712","35.69579"
"東京都板橋区稲荷台","139.71217","35.76105"
"東京都板橋区常盤台","139.68399","35.76205"
"東京都板橋区東坂下","139.69266","35.78202"
"東京都板橋区富士見町","139.69868","35.76083"
"東京都板橋区宮本町","139.70059","35.76402"
"東京都江戸川区上一色","139.87146","35.72460"
"東京都江戸川区中央","139.87329","35.71217"
"東京都江戸川区東葛西","139.87656","35.66831"
"東京都江戸川区船堀","139.86957","35.67767"
"東京都江戸川区臨海町","139.85953","35.64262"
"東京都江東区有明","139.79668","35.62942"
"東京都江東区大島","139.83536","35.68798"
"東京都江東区猿江","139.81169","35.68594"
"東京都江東区東砂","139.83884","35.67265"
"東京都江東区毛利","139.81772","35.69090"
"東京都渋谷区宇田川町","139.69742","35.66209"
"東京都渋谷区恵比寿","139.72018","35.64642"
"東京都渋谷区松濤","139.69305","35.66091"
"東京都渋谷区千駄ヶ谷","139.70618","35.68445"
"東京都渋谷区代々木","139.68965","35.67374"
"東京都港区赤坂","139.74234","35.66859"
"東京都港区芝","139.74730","35.65233"
"東京都港区台場","139.77794","35.63073"
"東京都港区高輪","139.73450","35.62660"
"東京都港区六本木","139.73479","35.66013"
"東京都目黒区青葉台","139.69160","35.65133"
"東京都目黒区駒場","139.68468","35.66010"
"東京都目黒区自由が丘","139.66704","35.61027"
"東京都目黒区中目黒","139.70074","35.63977"
"東京都目黒区目黒","139.71094","35.63609"
"東京都練馬区旭町","139.62244","35.76439"
"東京都練馬区向山","139.64111","35.73816"
"東京都練馬区高松","139.62097","35.75776"
"東京都練馬区豊玉上","139.66891","35.73611"
"東京都練馬区羽沢","139.67332","35.75142"
"東京都荒川区荒川","139.78111","35.73425"
"東京都荒川区西日暮里","139.76370","35.73273"
"東京都荒川区東尾久","139.77470","35.75160"
"東京都荒川区東日暮里","139.77652","35.73094"
"東京都荒川区南千住","139.79666","35.73015"
"東京都葛飾区青戸","139.85823","35.75021"
"東京都葛飾区亀有","139.84633","35.75842"
"東京都葛飾区高砂","139.87247","35.74779"
"東京都葛飾区西新小岩","139.85114","35.71719"
"東京都葛飾区四つ木","139.83777","35.73674"
"東京都豊島区池袋","139.70854","35.73394"
"東京都豊島区駒込","139.74960","35.73504"
"東京都豊島区高田","139.71616","35.71515"
"東京都豊島区東池袋","139.72307","35.72593"
"東京都豊島区目白","139.70955","35.71899"
"東京都足立区加平","139.82629","35.78036"
"東京都足立区千住桜木","139.79205","35.75139"
"東京都足立区西新井本町","139.77800","35.77278"
"東京都足立区一ツ家","139.81741","35.78024"
"東京都足立区谷在家","139.76778","35.78460"
